S1,DOV_Branch,politics,ppagecat,ppeducat,calculated_race,w6_subject_race,ppethm,ppgender,ppincimp,ppmarit,ppmsacat,PPREG4,ppreg9,agg_cowork,agg_friend,agg_fam,agg_sig,agg_neigh,school,college,military,church,volunteering,customer,bar_rest,party,public,blind_date,vacation,business trip,internet
"Yes, I am Married",1,republican,55-64,Bachelor's degree or higher,white,White,"White, Non-Hispanic",Female,"$150,000 to $174,999",Married,Metro,Midwest,East-North Central,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",1,democrat,45-54,Bachelor's degree or higher,white,White,"White, Non-Hispanic",Male,"$200,000 to $249,999",Married,Metro,South,South Atlantic,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
"Yes, I am Married",1,democrat,55-64,Bachelor's degree or higher,white,White,"White, Non-Hispanic",Female,"$175,000 to $199,999",Married,Metro,South,South Atlantic,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no
"Yes, I am Married",1,democrat,65-74,High school,white,White,"White, Non-Hispanic",Female,"$50,000 to $59,999",Married,Metro,Midwest,West-North Central,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no
"Yes, I am Married",1,democrat,65-74,Some college,white,White,"White, Non-Hispanic",Female,"$60,000 to $74,999",Married,Non-Metro,Midwest,West-North Central,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no
"Yes, I am Married",1,democrat,25-34,Bachelor's degree or higher,white,White,"White, Non-Hispanic",Male,"$250,000 or more",Married,Metro,South,West-South Central,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",1,democrat,35-44,Bachelor's degree or higher,white,White,"White, Non-Hispanic",Male,"$200,000 to $249,999",Married,Metro,Midwest,East-North Central,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",1,democrat,35-44,Bachelor's degree or higher,white,White,"White, Non-Hispanic",Female,"$85,000 to $99,999",Married,Metro,South,South Atlantic,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
"Yes, I am Married",1,democrat,45-54,High school,white,White,"White, Non-Hispanic",Female,"$20,000 to $24,999",Married,Metro,South,South Atlantic,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
"Yes, I am Married",1,republican,45-54,Some college,white,White,"White, Non-Hispanic",Male,"$100,000 to $124,999",Married,Non-Metro,Midwest,West-North Central,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
"Yes, I am Married",1,democrat,65-74,Bachelor's degree or higher,black,Black or African American,"Black, Non-Hispanic",Female,"$60,000 to $74,999",Married,Metro,South,South Atlantic,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",1,republican,35-44,Bachelor's degree or higher,white,White,"White, Non-Hispanic",Male,"$250,000 or more",Married,Metro,West,Mountain,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",1,republican,25-34,High school,white,White,"White, Non-Hispanic",Male,"$20,000 to $24,999",Married,Metro,South,East-South Central,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",1,republican,25-34,High school,white,White,"White, Non-Hispanic",Male,"$15,000 to $19,999",Married,Metro,West,Mountain,no,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
